"id","region","country","documentType","displayName","format","widthMm","heightMm","digitalOnly","headHeightMinMm","headHeightMaxMm","headHeightBasis","eyeLineMinMm","eyeLineMaxMm","allowedBackgrounds","prohibitedBackgrounds","glassesRule","editingRule","officialSource","lastVerified","verificationStatus"
"br","Americas","Brazil","Passport","Brazil — Passport","50 x 70 mm","50","70","false","31","36","Positioning guide; not published for this document","","","white","","Not stated in reviewed source","Not stated in reviewed source","https://www.gov.br/pf/pt-br/assuntos/passaporte/ajuda/duvidas_/documentacao/documentacao-fotografia-5x7-o-que-preciso","2026-09-03","Corrected 2026-09-03: from age 5 the Polícia Federal photographs the applicant electronically at the appointment; the 5 x 7 cm white-background print applies only to a child under 5 or a manual-capture fallback. Size and white background are officially published; head height, glasses and editing rules are not published for this print."
"mx","Americas","Mexico","Passport","Mexico — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white","gray or stained","Not allowed. The photo is taken without glasses at the appointment, and any exceptional printed photo must also be taken without glasses.","Not stated in reviewed source","https://www.gob.mx/sre/acciones-y-programas/tramite-de-pasaporte-8014","2026-09-03","Re-verified 2026-09-03: on-site capture confirmed via gob.mx and the Vancouver/New York consulate pages; the 35 x 45 mm size, 30-day age limit and rejection examples confirmed via the Frankfurt consulate's example sheet (an image-based PDF, read with pdftotext); sre.gob.mx (id=252) returned a bot-protection page on WebFetch and curl and could not be independently re-checked this session."
"at","Europe","Austria","Passport / ID","Austria — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","any plain light color | light gray | gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.bmi.gv.at/passbildkriterien/","2026-07-22","Dimensions and published rules checked against the official source"
"be","Europe","Belgium","Passport / ID","Belgium — Passport / ID","35 x 45 mm","35","45","false","31","36","Officially published","","","any plain light color","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://diplomatie.belgium.be/sites/default/files/2022-03/2016_matrice_nl_0.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"bg","Europe","Bulgaria","Passport / ID","Bulgaria — Passport / ID","35 x 45 mm","35","45","false","31.5","36","Officially published","","","light gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.mvr.bg/upload/19938/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%BD%D0%B8%D0%BA-%D0%B7%D0%B0-%D0%B8%D0%B7%D0%B4%D0%B0%D0%B2%D0%B0%D0%BD%D0%B5-%D0%BD%D0%B0-%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D1%82%D0%B5-%D0%BB%D0%B8%D1%87%D0%BD%D0%B8-%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8-%D0%B0%D0%BA%D1%82%D1%83%D0%B0%D0%BB%D0%BD%D0%BE%D1%81%D1%82-31-05-2024.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"hr","Europe","Croatia","Passport / ID","Croatia — Passport / ID","35 x 45 mm","35","45","false","31.5","36","Officially published","","","any plain light color","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://mup.gov.hr/gradjani-281562/moji-dokumenti-281563/putovnica-330/upute-za-pripremu-fotografija-za-e-dokumente-281819/281819","2026-07-22","Dimensions and published rules checked against the official source"
"cz","Europe","Czech Republic","Passport / ID","Czech Republic — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white | blue | light gray","","Not stated in reviewed source","Original, unedited photo required","https://mv.gov.cz/clanek/fotografie.aspx","2026-07-22","Dimensions and published rules checked against the official source"
"dk","Europe","Denmark","Passport / ID","Denmark — Passport / ID","35 x 45 mm","35","45","false","30","36","Officially published","","","any plain light color","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://politi.dk/-/media/mediefiler/landsdaekkende-dokumenter/lov-og-information/pas/krav-til-pasfoto/krav-til-pasbilleder.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"fi","Europe","Finland","Passport","Finland — Passport","36 x 47 mm","36","47","false","32","36","Positioning guide; not published for this document","","","","","Not stated in reviewed source","Not stated in reviewed source","https://poliisi.fi/documents/25235045/31329600/Passport-photograph-instructions-by-the-police-2020-EN-fixed.pdf","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"fr","Europe","France","Passport / ID","France — Passport / ID","35 x 45 mm","35","45","false","32","36","Officially published","","","any plain light color","white","Allowed only with clear, untinted lenses and no glare; the frame must not be thick and must not cover the eyes.","Not stated in reviewed source","https://www.service-public.gouv.fr/particuliers/vosdroits/F10619","2026-09-03","Dimensions and published rules checked against the official source"
"de","Europe","Germany","Passport / ID","Germany — Passport / ID","35 x 45 mm","35","45","false","32","36","Officially published","","","plain light color (ideally neutral gray) | light gray for dark hair | medium gray for light hair","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/BMI24037-fotomustertafel.html","2026-09-03","Dimensions and background rules checked against the BMI Fotomustertafel (Auflage 10/24); digital-only capture since 1 May 2025 confirmed against the BMI FAQ and notice, with a paper-photo exception at missions abroad."
"gr","Europe","Greece","Passport","Greece — Passport","4 x 6 cm","40","60","false","31","35","Positioning guide; not published for this document","","","any plain light color | light gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.passport.gov.gr/en/diadikasia-ekdosis/documents/specificationphoto.html","2026-07-22","Dimensions and published rules checked against the official source"
"ie","Europe","Ireland","Passport","Ireland — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","light gray | white | off-white or cream","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.dfa.ie/passports/photo-guidelines/","2026-07-22","Dimensions and published rules checked against the official source"
"it","Europe","Italy","Passport / ID","Italy — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.esteri.it/en/servizi-opportunita/italiani-all-estero/documenti_di_viaggio/linee-guida-foto-icao/","2026-07-22","Dimensions and published rules checked against the official source"
"nl","Europe","Netherlands","Passport / ID","Netherlands — Passport / ID","35 x 45 mm","35","45","false","26","30","Officially published","","","light gray | blue | white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.netherlandsworldwide.nl/passport-id-card/photo-requirements","2026-07-22","Dimensions and published rules checked against the official source"
"no","Europe","Norway","Passport / ID","Norway — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","","","Not allowed","Not stated in reviewed source","https://www.politiet.no/globalassets/tjenester-admin/pass-og-id-kort/kvalitetskrav-til-passfoto.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"pl","Europe","Poland","Passport / ID","Poland — Passport / ID","35 x 45 mm","35","45","false","31","36","Positioning guide; not published for this document","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.gov.pl/web/gov/zdjecie-do-dowodu-lub-paszportu","2026-07-22","Dimensions and published rules checked against the official source"
"ru","Europe","Russia","Visa","Russia — Visa","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white | off-white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://evisa.kdmid.ru/","2026-09-03","Dimensions and published rules checked against the official source"
"es","Europe","Spain","Passport / DNI","Spain — Passport / DNI","26 x 32 mm","26","32","false","20","25","Positioning guide; not published for this document","","","white","","Not stated in reviewed source","Not stated in reviewed source","https://www.boe.es/buscar/act.php?id=BOE-A-2005-21163","2026-07-22","Dimensions and published rules checked against the official source"
"se","Europe","Sweden","Passport / ID","Sweden — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","","","Not stated in reviewed source","Not stated in reviewed source","https://polisen.se/en/services-and-permits/passport-and-national-id-card/","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"ch","Europe","Switzerland","Passport / ID","Switzerland — Passport / ID","35 x 45 mm","35","45","false","29","34","Officially published","","","","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.fedpol.admin.ch/dam/de/sd-web/ZA--3ny9zRWt/fotomustertafel.pdf","2026-07-22","Dimensions and published rules checked against the official source"
"tr","Europe","Turkey","Biometric","Turkey — Biometric","50 x 60 mm","50","60","false","37","47","Positioning guide; not published for this document","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.nvi.gov.tr/istanbul/biyometrik-fotograf-nasil-olmalidir","2026-07-22","Dimensions and published rules checked against the official source"
"ua","Europe","Ukraine","Passport / Visa","Ukraine — Passport / Visa","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","plain light color (published for the visa photo)","","Not stated in reviewed source","Not stated in reviewed source","https://www.kmu.gov.ua/npas/249794301","2026-09-03","Visa photo size and background confirmed against Cabinet of Ministers Resolution 118 and official embassy visa-document pages; the passport itself uses an image captured on site, not a self-supplied photo, except for two exception cases requiring a 10 x 15 cm print."
"au","Asia and Pacific","Australia","Passport","Australia — Passport","35 x 45 mm","35","45","false","32","36","Officially published","","","white | light gray","","Not allowed","Original, unedited photo required","https://www.passports.gov.au/help/passport-photos","2026-07-22","Dimensions and published rules checked against the official source"
"hk","Asia and Pacific","Hong Kong","Passport","Hong Kong — Passport","40 x 50 mm","40","50","false","32","36","Officially published","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.immd.gov.hk/eng/residents/immigration/traveldoc/photorequirements.html","2026-07-22","Dimensions and published rules checked against the official source"
"jp","Asia and Pacific","Japan","Passport","Japan — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","","","Not stated in reviewed source","Not stated in reviewed source","https://www.mofa.go.jp/mofaj/toko/passport/ic_photo.html","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"my","Asia and Pacific","Malaysia","Passport","Malaysia — Passport","35 x 50 mm","35","50","false","25","30","Officially published","","","white | off-white or cream","","Not allowed","Not stated in reviewed source","https://www.kln.gov.my/documents/9375064/0/PASSPORT+PHOTO+SPECIFICATION+AND+SAMPLE+MALAYSIA.pdf/ba82dbb2-48ae-4a3e-876a-f6545b52bb4f","2026-07-22","Dimensions and published rules checked against the official source"
"nz","Asia and Pacific","New Zealand","Passport","New Zealand — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","any plain light color","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.passports.govt.nz/passport-photos","2026-07-22","Dimensions and published rules checked against the official source"
"pk","Asia and Pacific","Pakistan","Passport","Pakistan — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://onlinemrp.dgip.gov.pk/photo-requirements/","2026-07-22","Dimensions and published rules checked against the official source"
"ph","Asia and Pacific","Philippines","Passport","Philippines — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","","","Not stated in reviewed source","Not stated in reviewed source","https://ammanpe.dfa.gov.ph/86-consular-services/passports","2026-07-15","Official source recorded; source was unavailable during the later rule audit"
"sg","Asia and Pacific","Singapore","Passport / ID","Singapore — Passport / ID","Digital photo, 400 x 514 px (print equivalent: 35 x 45 mm)","35","45","false","25","35","Positioning guide; not published for this document","","","white","","Allowed if the lenses are clear and untinted and the eyes are clearly visible; reflection or glare on spectacles causes rejection.","Original, unedited photo required","https://www.ica.gov.sg/photo-guidelines","2026-09-03","Corrected 2026-09-03: ICA publishes no millimetre photo size; the digital upload for MyICA e-Services is 400 x 514 px. Glasses allowed if clear and untinted. Background, recency and headgear rules confirmed against the official Photo Guidelines page and its Dos and Don'ts graphic."
"kr","Asia and Pacific","South Korea","Passport","South Korea — Passport","35 x 45 mm","35","45","false","32","36","Officially published","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.passport.go.kr/home/kor/contents.do?menuPos=32","2026-07-22","Dimensions and published rules checked against the official source"
"tw","Asia and Pacific","Taiwan","Passport / ID","Taiwan — Passport / ID","35 x 45 mm","35","45","false","32","36","Officially published","","","white","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Original, unedited photo required","https://www.boca.gov.tw/np-16-1.html","2026-07-22","Dimensions and published rules checked against the official source"
"vn","Asia and Pacific","Vietnam","Passport","Vietnam — Passport","4 x 6 cm","40","60","false","37","47","Positioning guide; not published for this document","","","white","","Not allowed","No photoshop, AI editing or smiling; edited photos are refused and can cause problems at border e-gates","https://dichvucong.bocongan.gov.vn/bocongan/tintuc/chitiet?matin=141","2026-09-03","Proportional face/eye-position rule and the explicit no-editing rule checked directly against the Ministry of Public Security portal and provincial police guidance; verified 2026-09-03"
"il","Middle East and Africa","Israel","Passport","Israel — Passport","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","any plain light color | blue | white","","Not allowed","Not stated in reviewed source","https://www.gov.il/he/pages/passport_photo_requirments_guide","2026-07-22","Dimensions and published rules checked against the official source"
"ma","Middle East and Africa","Morocco","Passport / ID","Morocco — Passport / ID","35 x 45 mm","35","45","false","32","36","Positioning guide; not published for this document","","","blue | white | light gray","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://www.passeport.ma/Home/PiecesAuMaroc","2026-07-22","Dimensions and published rules checked against the official source"
"ng","Middle East and Africa","Nigeria","Passport","Nigeria — Passport","2 x 2 in","50.8","50.8","false","25","35","Officially published","28.6","35.2","any plain light color | white | off-white or cream","","Not allowed","Original, unedited photo required","https://passport.immigration.gov.ng/image-compliance","2026-07-22","Dimensions and published rules checked against the official source"
"sa","Middle East and Africa","Saudi Arabia","Visa","Saudi Arabia — Visa","2 x 2 in","50.8","50.8","false","35.6","40.6","Officially published","","","white","","Not stated in reviewed source","Not stated in reviewed source","https://visa.visitsaudi.com/Home/PhotoSpecifications","2026-07-22","Dimensions and published rules checked against the official source"
"za","Middle East and Africa","South Africa","Passport","South Africa — Passport","35 x 45 mm","35","45","false","29","34","Officially published","","","light gray | off-white or cream","","Allowed only with clear, untinted lenses; no glare or eye obstruction","Not stated in reviewed source","https://dirco.gov.za/japan/wp-content/uploads/sites/59/2024/08/Photograph-specifications-for-passports.pdf","2026-07-22","Dimensions and published rules checked against the official source"
